I_D;FLAG_TSUNAMI;DATE;TIME;COUNTRY;LATITUDE;LONGITUDE;DEATHS;INJURIES
4868;Yes;01/01/1980;16:42:42;AZORES (PORTUGAL);38.727;-27.75;69;600
4870;No;24/01/1980;19:00:09;USA;37.855;-121.816;;50
4876;Yes;18/05/1980;15:32:11;USA;46.214;-122.194;;
5275;No;13/02/1991;15:49:38;FRANCE;44.885;6.76;9;
5319;No;13/04/1992;1:20:00;NETHERLANDS;51.153;5.798;1;45
5320;No;23/04/1992;4:50:23;USA;33.961;-116.318;;32
5410;Yes;14/05/1995;11:33:21;INDONESIA;-8.452;125.049;;
5411;Yes;16/05/1995;20:12:44;NEW CALEDONIA;-23.008;169.9;;
5412;Yes;27/05/1995;13:03:52;RUSSIA;52.629;142.827;1989;750
5541;No;01/11/1999;13:25:16;CHINA;39.899;113.983;;4
5544;No;24/11/1999;16:40:21;CHINA;24.589;102.872;1;5
5546;No;29/11/1999;4:10:40;CHINA;40.459;122.889;;
5553;No;14/01/2000;23:37:07;CHINA;25.607;101.063;5;2528
5605;No;14/07/2001;18:36:08;CHINA;24.455;102.66;;2
5652;No;22/09/2002;23:53:14;UK;52.52;-2.15;;1
5655;No;30/09/2002;6:44:48;FRANCE;47.832;-3.207;;
5659;No;29/10/2002;10:02:21;ITALY;37.67;15.267;;9
5675;No;26/01/2003;19:57:03;ITALY;43.883;11.96;;
5681;No;22/02/2003;20:41:03;FRANCE;48.342;6.57;;
5686;No;22/03/2003;13:36:16;GERMANY;48.21;9;;
5709;No;26/07/2003;1:00:57;TURKEY;38.111;28.887;;
5719;Yes;21/08/2003;12:12:49;NEW ZEALAND;-45.104;167.144;;
5727;No;29/09/2003;18:22:32;NEW ZEALAND;-43.34;173.04;;
5754;No;10/01/2004;7:43:18;SLOVAKIA;48.758;19.217;;
5755;No;10/01/2004;18:38:14;ALGERIA;36.852;3.418;;300
5766;No;01/03/2004;0:35:58;GREECE;37.136;22.116;;
5769;No;28/03/2004;3:51:10;TURKEY;39.847;40.874;;12
5777;No;03/05/2004;4:36:50;CHILE;-37.695;-73.406;;
5785;No;09/06/2004;11:41:16;SAUDI ARABIA;27.836;36.905;;
5789;No;12/07/2004;13:04:07;SLOVENIA;46.296;13.641;1;5
5802;No;21/09/2004;13:32:30;POLAND;54.841;19.912;;3
5816;No;24/11/2004;22:59:40;ITALY;45.626;10.559;;9
5832;No;05/12/2004;1:52:37;GERMANY;48.115;8.077;;
5820;No;05/12/2004;8:30:59;ALGERIA;36.865;3.421;;46
5834;No;20/12/2004;23:02:12;TURKEY;37.042;28.206;;3
5838;No;20/01/2005;18:56:30;NEW ZEALAND;-41.223;175.21;;
5843;No;29/01/2005;7:41:31;SPAIN;37.91;-1.82;;
5851;No;12/03/2005;7:36:12;TURKEY;39.44;40.978;;16
5853;No;14/03/2005;1:55:56;TURKEY;39.354;40.89;;18
5854;No;14/03/2005;9:43:49;INDIA;17.145;73.73;;45
5855;No;15/03/2005;2:07:07;INDIA;17.072;73.668;;
6759;No;10/07/2005;13:10:12;ALBANIA;42.389;19.812;;
6768;No;09/08/2005;5:09:21;IRAN;28.85;52.56;;
6777;No;01/10/2005;22:19:51;PERU;-16.635;-70.794;;10
7251;No;26/11/2005;15:56:55;TURKEY;38.26;38.814;;
7253;No;24/12/2005;3:56:07;TURKEY;38.804;26.783;;
7224;No;20/02/2006;17:20:09;BULGARIA;41.708;25.544;;2
7242;No;04/05/2006;17:43:10;PANAMA;8.898;-82.543;;
7246;No;03/06/2006;7:15:36;IRAN;26.759;55.843;2;4
7249;No;13/06/2006;14:15:38;ALBANIA;40.27;19.96;;1
7366;No;24/08/2006;20:01:00;FRANCE;45.84;-0.14;;
7416;No;17/11/2006;18:19:52;FRANCE;42.99;-0.05;;
7417;No;23/11/2006;7:15:21;HUNGARY;48.195;22.46;;
7421;No;08/12/2006;16:48:39;SWITZERLAND;47.58;7.6;;
7451;No;31/12/2006;13:39:24;HUNGARY;47.449;19.343;;
7455;No;21/01/2007;7:38:57;TURKEY;39.592;42.863;;2
7463;No;21/02/2007;11:05:29;TURKEY;38.318;39.267;;
7503;No;16/04/2007;7:38:54;ALBANIA;41.172;19.897;;
7526;No;28/04/2007;7:18:11;UK;51.085;1.009;;1
7522;No;08/05/2007;15:46:49;USA;45.394;-112.13;;
7601;No;06/08/2007;8:48:40;USA;39.465;-111.237;9;
7614;No;17/08/2007;0:38:56;USA;39.464;-111.207;3;6
7615;No;20/08/2007;19:15:54;INDIA;17.2;73.7;;
7616;No;25/08/2007;4:24:22;IRAN;28.154;56.652;;4
7703;No;20/11/2007;5:20:03;IRAN;31.68;49.93;;30
7674;No;25/11/2007;16:02:18;INDONESIA;-8.277;118.339;3;
7723;No;15/12/2007;18:22:27;CHILE;-32.689;-71.695;;4
7724;No;20/12/2007;7:55:16;NEW ZEALAND;-39.011;178.291;1;
7725;No;20/12/2007;9:48:30;TURKEY;39.417;33.212;;
7726;No;26/12/2007;23:47:11;TURKEY;39.446;33.162;;
7748;No;09/01/2008;22:24:04;ALGERIA;35.616;-0.57;1;
7766;No;09/02/2008;7:12:06;MEXICO;32.456;-115.315;;
7767;No;13/02/2008;20:55:32;IRAN;31.73;51.2;;10
7769;No;15/02/2008;10:36:19;LEBANON;33.327;35.305;;10
7872;No;27/02/2008;0:56:48;UK;53.403;-0.332;;1
8128;No;26/04/2008;6:40:11;USA;39.52;-119.93;;
8129;No;01/05/2008;0:15:27;IRAN;33.86;48.59;;100
8173;No;25/08/2008;11:25:19;NEW ZEALAND;-39.715;176.851;;
8176;No;03/09/2008;2:22:47;TURKEY;37.507;38.503;;
8255;No;10/12/2008;10:53:50;ARGENTINA;-32.938;-69.259;;
8258;No;21/01/2009;18:17:03;PERU;-11.779;-75.626;;
8299;No;31/03/2009;17:50:34;NICARAGUA;13.452;-86.06;;
8382;No;24/05/2009;16:17:51;MACEDONIA;41.303;22.714;;
8357;Yes;15/07/2009;9:22:29;NEW ZEALAND;-45.762;166.562;;
8535;No;22/09/2009;8:20:41;AUSTRALIA;-38.28;145.25;;
8430;No;03/11/2009;23:26:52;IRAN;27.334;56.202;;269
8792;No;06/12/2009;21:52:00;SOUTH AFRICA;-26.414;27.494;2;3
9033;No;20/04/2010;0:17:08;AUSTRALIA;-30.794;121.406;;3
9132;No;14/05/2010;12:29:22;ALGERIA;35.9;4.12;2;43
9766;No;22/06/2010;23:14:11;INDIA;29.872;80.428;;
9769;No;30/07/2010;13:50:13;IRAN;35.217;59.308;;274
9772;No;06/09/2010;11:24:02;NEW ZEALAND;-43.57;172.388;;
9773;No;06/09/2010;22:48:33;NEW ZEALAND;-40.433;176.818;;
9774;No;07/09/2010;19:49:57;NEW ZEALAND;-43.598;172.69;;
9552;No;27/09/2010;11:22:46;IRAN;29.647;51.665;1;3
9803;No;06/11/2010;3:52:20;IRAN;33.37;48.94;;104
9828;No;25/12/2010;21:30:16;NEW ZEALAND;-43.55;172.647;;
9762;No;05/01/2011;16:32:24;IRAN;30.16;51.62;;16
9832;No;17/02/2011;22:47:22;USA;38.947;-107.497;;
9779;Yes;21/02/2011;23:51:42;NEW ZEALAND;-43.583;172.68;181;1500
9836;No;10/03/2011;4:58:16;CHINA;24.719;97.969;25;250
9801;No;24/03/2011;13:55:12;MYANMAR (BURMA);20.687;99.822;75;123
9833;No;19/05/2011;21:12:51;TURKEY;39.12;29.04;2;125
9824;Yes;24/06/2011;3:09:39;USA;52.05;-171.836;;
9887;No;29/10/2011;0:43:55;INDIA;27.449;88.684;2;
9888;No;29/10/2011;13:50:49;ECUADOR;-0.13;-78.37;;
9891;No;01/12/2011;12:48:18;CHINA;38.31;76.888;;
9854;No;03/12/2011;6:19:10;NEW ZEALAND;-41.364;174.315;;
9903;No;27/02/2012;18:48:55;IRAN;31.428;56.778;;6
9949;No;14/06/2012;5:52:54;TURKEY;37.294;42.325;;23
9965;No;19/02/2013;2:47:01;CHINA;27.226;103.071;;8
10037;No;19/05/2013;9:07:27;ALGERIA;36.703;5.261;;5
10315;No;23/12/2014;8:00:08;ALGERIA;36.492;3.025;;
10126;No;21/02/2015;21:21:08;BOSNIA-HERZEGOVINA;44.534;18.934;4;1
10321;No;28/02/2015;20:10:56;PERU;-15.693;-71.934;;
10335;No;01/03/2015;10:24:05;CHINA;23.5;98.9;;39
10387;No;12/01/2019;8:58:27;POLAND;51.52;16.09;1;6
10390;No;22/01/2019;22:35:31;POLAND;50.08;18.39;1;8
10411;No;22/05/2019;3:48:59;NETHERLANDS;53.394;6.586;;
3516;Yes;11/03/1933;1:54:07;USA;33.62;-117.97;120;
4021;Yes;06/05/1953;17:16:43;CHILE;-36.5;-72.5;9;26
4199;Yes;18/08/1959;6:37:13;USA;44.712;-111.215;28;
4255;No;07/01/1962;10:03:00;CROATIA;43.3;17.1;4;
4256;No;11/01/1962;5:05:00;CROATIA;43.3;17.1;1;
4502;No;02/10/1969;4:56:46;USA;38.467;-122.692;1;
4558;No;09/02/1971;14:00:41;USA;34.412;-118.4;65;2000
4626;No;21/02/1973;14:45:57;USA;34.1;-119;;
4637;No;26/04/1973;20:26:28;USA;19.936;-155.098;;11
4687;No;28/03/1975;2:31:05;USA;42.06;-112.55;;1
4696;No;01/08/1975;20:20:12;USA;39.439;-121.528;;10
4781;No;03/11/1977;2:22:54;ROMANIA;42.11;23.97;;
4813;No;13/08/1978;22:54:53;USA;34.35;-119.7;;65
4814;No;03/09/1978;5:08:30;GERMANY;48.29;9.01;;
4830;Yes;15/04/1979;6:19:44;MONTENEGRO;42.096;19.209;131;1001
7282;Yes;15/05/1979;6:59:21;GREECE;34.53;24.437;;
4840;No;18/07/1979;13:12:02;TURKEY;39.672;28.66;;
4847;No;15/10/1979;23:16:54;USA;32.634;-115.324;;91
